comunicacao_id,cliente_id,contrato_id,tipo_comunicacao,campanha,data_prevista_envio,data_envio,status_envio,resultado,mes_referencia,ano_referencia,custo_estimado_rs
21,238,319,SMS,Oferta Cross-sell,2026-05-13,2026-05-13,Enviado,Respondido,5,2026,0.12
22,155,209,WhatsApp,Entrega Veículo,2026-10-22,,Agendado,,10,2026,0.25
23,155,209,Carta,Cobrança,2026-01-30,2026-01-30,Enviado,Sem Resposta,1,2026,4.5
24,155,209,SMS,Oferta Cross-sell,2026-08-08,2026-08-08,Enviado,Sem Resposta,8,2026,0.12
25,155,209,SMS,Renovação,2026-11-30,,Agendado,,11,2026,0.12
26,155,209,Email,Cobrança,2025-06-28,,Falhou,,6,2025,0.03
27,155,209,Email,Lembrete Parcela,2025-10-02,2025-10-02,Enviado,Sem Resposta,10,2025,0.03
28,60,76,Email,Cobrança,2025-04-04,2025-04-04,Enviado,Sem Resposta,4,2025,0.03
29,60,76,WhatsApp,Entrega Veículo,2026-05-24,2026-05-24,Enviado,Respondido,5,2026,0.25
30,60,76,SMS,Oferta Cross-sell,2025-09-17,2025-09-17,Enviado,Opt-out,9,2025,0.12
31,60,76,SMS,Lembrete Parcela,2026-12-06,,Agendado,,12,2026,0.12
32,60,76,WhatsApp,Cobrança,2025-11-11,2025-11-11,Enviado,Respondido,11,2025,0.25
33,60,76,WhatsApp,Cobrança,2027-01-06,,Agendado,,1,2027,0.25
34,60,76,Email,Renovação,2026-02-20,2026-02-20,Enviado,Opt-out,2,2026,0.03
35,90,123,SMS,Cobrança,2026-05-11,2026-05-11,Enviado,Pagou,5,2026,0.12
36,90,123,SMS,Entrega Veículo,2026-02-03,2026-02-03,Enviado,Respondido,2,2026,0.12
37,90,123,WhatsApp,Entrega Veículo,2026-12-15,,Agendado,,12,2026,0.25
38,90,123,WhatsApp,Lembrete Parcela,2025-08-31,2025-08-31,Enviado,Opt-out,8,2025,0.25
39,90,123,WhatsApp,Entrega Veículo,2027-01-26,,Agendado,,1,2027,0.25
40,116,160,SMS,Cobrança,2026-01-27,2026-01-27,Enviado,Respondido,1,2026,0.12
41,116,160,WhatsApp,Entrega Veículo,2027-01-11,,Agendado,,1,2027,0.25
42,116,160,SMS,Cobrança,2025-06-12,2025-06-12,Enviado,Respondido,6,2025,0.12
43,116,160,WhatsApp,CNH Pendência,2026-01-23,2026-01-23,Enviado,Sem Resposta,1,2026,0.25
44,116,160,WhatsApp,Lembrete Parcela,2025-01-08,2025-01-08,Enviado,Respondido,1,2025,0.25
45,116,160,WhatsApp,Renovação,2025-11-13,2025-11-13,Enviado,Pagou,11,2025,0.25
46,116,160,SMS,Oferta Cross-sell,2026-04-06,,Falhou,,4,2026,0.12
47,36,44,SMS,Renovação,2026-11-18,,Agendado,,11,2026,0.12
48,36,44,SMS,Lembrete Parcela,2026-08-09,,Agendado,,8,2026,0.12
49,230,308,Email,Renovação,2026-11-29,,Agendado,,11,2026,0.03
50,230,308,WhatsApp,Cobrança,2025-10-06,2025-10-06,Enviado,Sem Resposta,10,2025,0.25
51,221,293,SMS,Renovação,2026-01-02,2026-01-02,Enviado,Sem Resposta,1,2026,0.12
52,221,293,SMS,Cobrança,2026-12-30,,Agendado,,12,2026,0.12
53,221,293,SMS,Renovação,2025-04-23,2025-04-23,Enviado,Respondido,4,2025,0.12
54,221,293,SMS,Renovação,2025-03-22,,Falhou,,3,2025,0.12
55,221,293,Push,Oferta Cross-sell,2026-07-28,2026-07-28,Enviado,Pagou,7,2026,0.01
56,145,195,Push,Renovação,2026-03-22,2026-03-22,Enviado,Opt-out,3,2026,0.01
57,145,195,Carta,Lembrete Parcela,2026-10-14,,Agendado,,10,2026,4.5
58,145,195,Email,Lembrete Parcela,2025-03-16,2025-03-16,Enviado,Sem Resposta,3,2025,0.03
59,145,195,WhatsApp,Cobrança,2025-09-08,2025-09-08,Enviado,Respondido,9,2025,0.25
60,145,195,Carta,Lembrete Parcela,2026-04-07,2026-04-07,Enviado,Sem Resposta,4,2026,4.5
61,145,195,Email,Cobrança,2026-07-29,2026-07-29,Enviado,Respondido,7,2026,0.03
62,98,135,Email,Cobrança,2026-05-04,2026-05-04,Enviado,Respondido,5,2026,0.03
63,98,135,WhatsApp,Oferta Cross-sell,2026-06-19,2026-06-19,Enviado,Opt-out,6,2026,0.25
64,98,135,SMS,Cobrança,2026-12-25,,Agendado,,12,2026,0.12
65,98,135,SMS,Renovação,2026-05-06,2026-05-06,Enviado,Sem Resposta,5,2026,0.12
66,98,135,Carta,Cobrança,2025-10-21,2025-10-21,Enviado,Pagou,10,2025,4.5
67,98,135,Email,Renovação,2025-05-09,2025-05-09,Enviado,Respondido,5,2025,0.03
68,83,113,Email,Cobrança,2025-03-07,2025-03-07,Enviado,Sem Resposta,3,2025,0.03
69,83,113,WhatsApp,Oferta Cross-sell,2025-12-31,2025-12-31,Enviado,Pagou,12,2025,0.25
70,83,113,Carta,Cobrança,2026-02-07,,Falhou,,2,2026,4.5
71,83,113,WhatsApp,Oferta Cross-sell,2025-12-12,2025-12-12,Enviado,Pagou,12,2025,0.25
72,76,103,Email,Oferta Cross-sell,2026-12-25,,Agendado,,12,2026,0.03
73,76,103,Push,Oferta Cross-sell,2026-01-05,2026-01-05,Enviado,Respondido,1,2026,0.01
74,216,287,Email,Cobrança,2025-08-17,,Falhou,,8,2025,0.03
75,216,287,SMS,Oferta Cross-sell,2025-07-07,2025-07-07,Enviado,Sem Resposta,7,2025,0.12
76,216,287,WhatsApp,Entrega Veículo,2025-09-12,2025-09-12,Enviado,Sem Resposta,9,2025,0.25
77,216,287,Email,Cobrança,2026-08-05,,Agendado,,8,2026,0.03
78,216,287,WhatsApp,Cobrança,2026-11-15,,Agendado,,11,2026,0.25
79,216,287,WhatsApp,Oferta Cross-sell,2026-11-10,,Agendado,,11,2026,0.25
80,216,287,Email,Lembrete Parcela,2026-07-20,2026-07-20,Enviado,Opt-out,7,2026,0.03
81,127,174,WhatsApp,Cobrança,2025-10-15,2025-10-15,Enviado,Sem Resposta,10,2025,0.25
82,127,174,Carta,Cobrança,2027-01-13,,Agendado,,1,2027,4.5
83,127,174,Email,Lembrete Parcela,2026-08-17,,Agendado,,8,2026,0.03
84,127,174,SMS,Renovação,2025-08-01,2025-08-01,Enviado,Respondido,8,2025,0.12
85,127,174,WhatsApp,Cobrança,2026-08-13,,Agendado,,8,2026,0.25
86,127,174,WhatsApp,Cobrança,2025-10-15,2025-10-15,Enviado,Sem Resposta,10,2025,0.25
87,127,174,Email,Renovação,2026-09-10,,Agendado,,9,2026,0.03
88,244,326,Email,Cobrança,2025-08-28,2025-08-28,Enviado,Respondido,8,2025,0.03
89,244,326,WhatsApp,Cobrança,2025-07-29,,Falhou,,7,2025,0.25
90,244,326,SMS,Cobrança,2026-04-25,2026-04-25,Enviado,Pagou,4,2026,0.12
91,55,69,Email,Lembrete Parcela,2025-01-11,2025-01-11,Enviado,Sem Resposta,1,2025,0.03
92,55,69,WhatsApp,Lembrete Parcela,2025-11-19,2025-11-19,Enviado,Pagou,11,2025,0.25
93,107,145,Email,Cobrança,2025-06-27,,Falhou,,6,2025,0.03
94,107,145,WhatsApp,Lembrete Parcela,2026-05-15,2026-05-15,Enviado,Respondido,5,2026,0.25
95,107,145,Push,Cobrança,2026-08-12,,Agendado,,8,2026,0.01
96,177,236,Email,Oferta Cross-sell,2026-12-27,,Agendado,,12,2026,0.03
97,177,236,WhatsApp,CNH Pendência,2026-08-05,,Agendado,,8,2026,0.25
98,177,236,WhatsApp,Cobrança,2027-01-17,,Agendado,,1,2027,0.25
99,71,96,SMS,Cobrança,2026-03-26,2026-03-26,Enviado,Pagou,3,2026,0.12
100,71,96,SMS,Entrega Veículo,2026-11-27,,Agendado,,11,2026,0.12
101,71,96,Push,Lembrete Parcela,2026-11-30,,Agendado,,11,2026,0.01
102,71,96,WhatsApp,Lembrete Parcela,2025-09-24,2025-09-24,Enviado,Sem Resposta,9,2025,0.25
103,71,96,Push,CNH Pendência,2025-09-28,2025-09-28,Enviado,Sem Resposta,9,2025,0.01
104,71,96,Email,Oferta Cross-sell,2026-09-09,,Agendado,,9,2026,0.03
105,71,96,Email,Lembrete Parcela,2026-06-02,,Falhou,,6,2026,0.03
106,71,96,SMS,Cobrança,2025-12-18,2025-12-18,Enviado,Pagou,12,2025,0.12
107,140,188,Push,Lembrete Parcela,2026-09-07,,Agendado,,9,2026,0.01
108,140,188,Email,Entrega Veículo,2026-04-08,2026-04-08,Enviado,Opt-out,4,2026,0.03
109,140,188,SMS,Lembrete Parcela,2025-02-18,2025-02-18,Enviado,Sem Resposta,2,2025,0.12
110,140,188,SMS,Oferta Cross-sell,2026-07-21,2026-07-21,Enviado,Pagou,7,2026,0.12
111,23,30,Push,Cobrança,2026-08-19,,Agendado,,8,2026,0.01
112,23,30,SMS,Renovação,2026-10-14,,Agendado,,10,2026,0.12
113,23,30,WhatsApp,Lembrete Parcela,2027-01-01,,Agendado,,1,2027,0.25
114,23,30,SMS,Cobrança,2027-01-06,,Agendado,,1,2027,0.12
115,23,30,Email,Cobrança,2025-04-23,2025-04-23,Enviado,Respondido,4,2025,0.03
116,23,30,Email,Cobrança,2025-09-18,2025-09-18,Enviado,Sem Resposta,9,2025,0.03
117,139,187,Email,Cobrança,2025-05-28,2025-05-28,Enviado,Respondido,5,2025,0.03
118,139,187,WhatsApp,Lembrete Parcela,2026-01-27,2026-01-27,Enviado,Respondido,1,2026,0.25
119,139,187,WhatsApp,Cobrança,2026-09-20,,Agendado,,9,2026,0.25
120,207,273,SMS,Entrega Veículo,2025-01-19,2025-01-19,Enviado,Pagou,1,2025,0.12
121,207,273,WhatsApp,Oferta Cross-sell,2026-08-04,,Agendado,,8,2026,0.25
122,207,273,SMS,Cobrança,2026-01-19,2026-01-19,Enviado,Sem Resposta,1,2026,0.12
123,90,121,SMS,Lembrete Parcela,2026-10-20,,Agendado,,10,2026,0.12
124,90,121,WhatsApp,Cobrança,2025-07-06,2025-07-06,Enviado,Sem Resposta,7,2025,0.25
125,90,121,Push,Cobrança,2025-11-21,2025-11-21,Enviado,Sem Resposta,11,2025,0.01
126,90,121,Email,Renovação,2025-06-24,2025-06-24,Enviado,Sem Resposta,6,2025,0.03
127,90,121,Email,Cobrança,2026-10-29,,Agendado,,10,2026,0.03
128,90,121,SMS,Oferta Cross-sell,2025-01-29,2025-01-29,Enviado,Sem Resposta,1,2025,0.12
129,86,116,SMS,Cobrança,2026-02-25,2026-02-25,Enviado,Respondido,2,2026,0.12
130,86,116,WhatsApp,Cobrança,2026-11-11,,Agendado,,11,2026,0.25
131,86,116,SMS,Cobrança,2026-09-09,,Agendado,,9,2026,0.12
132,92,126,WhatsApp,Renovação,2027-01-18,,Agendado,,1,2027,0.25
133,92,126,SMS,Lembrete Parcela,2025-03-19,2025-03-19,Enviado,Sem Resposta,3,2025,0.12
134,92,126,WhatsApp,Oferta Cross-sell,2025-04-10,2025-04-10,Enviado,Pagou,4,2025,0.25
135,92,126,Email,Cobrança,2026-08-12,,Agendado,,8,2026,0.03
136,92,126,Email,Cobrança,2027-01-28,,Agendado,,1,2027,0.03
137,92,126,SMS,CNH Pendência,2025-07-01,,Falhou,,7,2025,0.12
138,92,126,WhatsApp,Cobrança,2026-11-04,,Agendado,,11,2026,0.25
139,97,134,WhatsApp,Cobrança,2026-11-04,,Agendado,,11,2026,0.25
140,97,134,Carta,Oferta Cross-sell,2026-07-03,2026-07-03,Enviado,Sem Resposta,7,2026,4.5
141,97,134,SMS,CNH Pendência,2026-06-28,2026-06-28,Enviado,Sem Resposta,6,2026,0.12
142,97,134,Email,Cobrança,2025-05-17,2025-05-17,Enviado,Sem Resposta,5,2025,0.03
143,97,134,Email,Cobrança,2026-05-30,,Falhou,,5,2026,0.03
144,97,134,WhatsApp,Oferta Cross-sell,2025-11-18,2025-11-18,Enviado,Pagou,11,2025,0.25
145,97,134,WhatsApp,Entrega Veículo,2026-02-13,2026-02-13,Enviado,Pagou,2,2026,0.25
146,77,104,WhatsApp,Oferta Cross-sell,2025-07-04,2025-07-04,Enviado,Respondido,7,2025,0.25
147,77,104,WhatsApp,Entrega Veículo,2025-07-17,2025-07-17,Enviado,Sem Resposta,7,2025,0.25
148,15,18,SMS,Cobrança,2025-08-11,2025-08-11,Enviado,Respondido,8,2025,0.12
149,15,18,Push,Lembrete Parcela,2026-12-24,,Agendado,,12,2026,0.01
150,91,124,Carta,CNH Pendência,2026-04-03,2026-04-03,Enviado,Pagou,4,2026,4.5
151,91,124,WhatsApp,Oferta Cross-sell,2026-08-13,2026-08-13,Enviado,Respondido,8,2026,0.25
152,91,124,WhatsApp,Cobrança,2026-07-17,2026-07-17,Enviado,Respondido,7,2026,0.25
153,91,124,Email,Renovação,2026-09-13,,Agendado,,9,2026,0.03
154,91,124,SMS,Lembrete Parcela,2025-07-21,2025-07-21,Enviado,Sem Resposta,7,2025,0.12
155,91,124,Email,Cobrança,2026-08-01,,Agendado,,8,2026,0.03
156,91,124,SMS,Cobrança,2026-10-09,,Agendado,,10,2026,0.12
157,91,124,Email,Cobrança,2025-01-02,,Falhou,,1,2025,0.03
158,32,40,Push,Lembrete Parcela,2027-01-05,,Agendado,,1,2027,0.01
159,32,40,WhatsApp,Cobrança,2026-08-16,,Agendado,,8,2026,0.25
160,32,40,Email,Cobrança,2026-09-11,,Agendado,,9,2026,0.03
161,32,40,WhatsApp,CNH Pendência,2026-09-28,,Agendado,,9,2026,0.25
162,32,40,WhatsApp,Cobrança,2026-12-07,,Agendado,,12,2026,0.25
163,32,40,Email,Oferta Cross-sell,2026-09-22,,Agendado,,9,2026,0.03
164,33,41,Email,CNH Pendência,2026-12-08,,Agendado,,12,2026,0.03
165,33,41,SMS,Cobrança,2026-07-10,,Falhou,,7,2026,0.12
166,33,41,WhatsApp,Lembrete Parcela,2026-04-11,2026-04-11,Enviado,Sem Resposta,4,2026,0.25
167,231,310,SMS,Entrega Veículo,2026-09-18,,Agendado,,9,2026,0.12
168,231,310,Email,Cobrança,2025-08-20,2025-08-20,Enviado,Respondido,8,2025,0.03
169,231,310,WhatsApp,Lembrete Parcela,2026-09-27,,Agendado,,9,2026,0.25
170,231,310,SMS,Cobrança,2026-08-17,,Agendado,,8,2026,0.12
171,206,271,WhatsApp,Oferta Cross-sell,2027-01-27,,Agendado,,1,2027,0.25
172,206,271,Push,Cobrança,2026-01-30,2026-01-30,Enviado,Respondido,1,2026,0.01
173,206,271,WhatsApp,Lembrete Parcela,2026-09-12,,Agendado,,9,2026,0.25
174,206,271,Carta,Cobrança,2025-04-13,,Falhou,,4,2025,4.5
175,206,271,SMS,CNH Pendência,2025-05-11,2025-05-11,Enviado,Sem Resposta,5,2025,0.12
176,206,271,Email,Renovação,2025-04-24,2025-04-24,Enviado,Sem Resposta,4,2025,0.03
177,193,256,WhatsApp,CNH Pendência,2025-11-03,2025-11-03,Enviado,Sem Resposta,11,2025,0.25
178,193,256,SMS,Lembrete Parcela,2026-09-08,,Agendado,,9,2026,0.12
179,193,256,Email,Lembrete Parcela,2026-11-11,,Agendado,,11,2026,0.03
180,193,256,WhatsApp,Oferta Cross-sell,2025-12-29,2025-12-29,Enviado,Respondido,12,2025,0.25
181,193,256,SMS,Cobrança,2026-08-03,,Falhou,,8,2026,0.12
182,193,256,Email,Cobrança,2026-03-22,2026-03-22,Enviado,Respondido,3,2026,0.03
183,154,208,Carta,Lembrete Parcela,2025-01-24,2025-01-24,Enviado,Sem Resposta,1,2025,4.5
184,154,208,WhatsApp,Cobrança,2025-11-08,2025-11-08,Enviado,Sem Resposta,11,2025,0.25
185,154,208,Email,Oferta Cross-sell,2026-07-21,2026-07-21,Enviado,Sem Resposta,7,2026,0.03
186,154,208,Email,Lembrete Parcela,2026-08-08,2026-08-08,Enviado,Sem Resposta,8,2026,0.03
187,154,208,SMS,Entrega Veículo,2026-06-01,2026-06-01,Enviado,Respondido,6,2026,0.12
188,12,15,WhatsApp,Cobrança,2025-12-18,2025-12-18,Enviado,Pagou,12,2025,0.25
189,12,15,Email,Oferta Cross-sell,2026-10-14,,Agendado,,10,2026,0.03
190,12,15,Email,Lembrete Parcela,2025-11-20,2025-11-20,Enviado,Sem Resposta,11,2025,0.03
191,12,15,Email,Lembrete Parcela,2025-01-11,2025-01-11,Enviado,Respondido,1,2025,0.03
192,12,15,Push,CNH Pendência,2025-05-23,,Cancelado,,5,2025,0.01
193,144,192,SMS,Renovação,2025-03-04,2025-03-04,Enviado,Sem Resposta,3,2025,0.12
194,144,192,WhatsApp,Cobrança,2025-04-17,2025-04-17,Enviado,Respondido,4,2025,0.25
195,100,137,SMS,Oferta Cross-sell,2026-08-11,,Agendado,,8,2026,0.12
196,100,137,Email,Cobrança,2026-12-20,,Agendado,,12,2026,0.03
197,100,137,WhatsApp,Cobrança,2025-04-19,2025-04-19,Enviado,Sem Resposta,4,2025,0.25
198,100,137,SMS,CNH Pendência,2026-11-23,,Agendado,,11,2026,0.12
199,100,137,Push,Lembrete Parcela,2025-08-06,2025-08-06,Enviado,Sem Resposta,8,2025,0.01
200,100,137,WhatsApp,Renovação,2025-12-31,2025-12-31,Enviado,Respondido,12,2025,0.25
201,142,190,SMS,Renovação,2026-08-02,2026-08-02,Enviado,Sem Resposta,8,2026,0.12
202,142,190,WhatsApp,Oferta Cross-sell,2026-11-19,,Agendado,,11,2026,0.25
203,142,190,SMS,Renovação,2026-08-05,,Agendado,,8,2026,0.12
204,142,190,Email,Lembrete Parcela,2025-02-05,2025-02-05,Enviado,Sem Resposta,2,2025,0.03
205,179,240,Carta,Renovação,2025-08-25,2025-08-25,Enviado,Sem Resposta,8,2025,4.5
206,179,240,SMS,Entrega Veículo,2025-02-14,2025-02-14,Enviado,Sem Resposta,2,2025,0.12
207,179,240,Email,Cobrança,2026-11-11,,Agendado,,11,2026,0.03
208,148,200,SMS,Entrega Veículo,2026-11-05,,Agendado,,11,2026,0.12
209,148,200,WhatsApp,Cobrança,2025-12-19,2025-12-19,Enviado,Sem Resposta,12,2025,0.25
210,148,200,Email,Oferta Cross-sell,2025-07-02,2025-07-02,Enviado,Pagou,7,2025,0.03
211,148,200,SMS,Cobrança,2025-10-29,2025-10-29,Enviado,Respondido,10,2025,0.12
212,148,200,Email,Oferta Cross-sell,2026-07-09,2026-07-09,Enviado,Pagou,7,2026,0.03
213,148,200,SMS,Renovação,2025-06-24,2025-06-24,Enviado,Pagou,6,2025,0.12
214,148,200,SMS,Cobrança,2025-03-25,,Cancelado,,3,2025,0.12
215,148,200,WhatsApp,Cobrança,2025-06-20,2025-06-20,Enviado,Pagou,6,2025,0.25
216,101,138,WhatsApp,Cobrança,2025-07-09,,Falhou,,7,2025,0.25
217,101,138,SMS,Entrega Veículo,2026-11-29,,Agendado,,11,2026,0.12
218,101,138,WhatsApp,Cobrança,2026-04-20,2026-04-20,Enviado,Sem Resposta,4,2026,0.25
219,101,138,WhatsApp,Cobrança,2027-01-06,,Agendado,,1,2027,0.25
220,101,138,Email,Cobrança,2026-12-20,,Agendado,,12,2026,0.03
221,101,138,SMS,Cobrança,2026-09-13,,Agendado,,9,2026,0.12
222,221,295,SMS,CNH Pendência,2026-08-26,,Agendado,,8,2026,0.12
223,221,295,Push,Renovação,2026-01-13,2026-01-13,Enviado,Sem Resposta,1,2026,0.01
224,221,295,Push,Cobrança,2025-02-18,2025-02-18,Enviado,Sem Resposta,2,2025,0.01
225,221,295,Email,Cobrança,2025-08-24,2025-08-24,Enviado,Sem Resposta,8,2025,0.03
226,221,295,SMS,Renovação,2026-06-26,2026-06-26,Enviado,Pagou,6,2026,0.12
227,221,295,WhatsApp,Cobrança,2026-08-31,,Agendado,,8,2026,0.25
228,221,295,Email,Renovação,2026-12-25,,Agendado,,12,2026,0.03
229,125,170,SMS,Cobrança,2026-09-22,,Agendado,,9,2026,0.12
230,125,170,SMS,Cobrança,2025-02-01,2025-02-01,Enviado,Respondido,2,2025,0.12
231,125,170,SMS,Cobrança,2027-01-24,,Agendado,,1,2027,0.12
232,125,170,WhatsApp,Cobrança,2025-07-06,2025-07-06,Enviado,Respondido,7,2025,0.25
233,125,170,Email,Oferta Cross-sell,2026-07-25,2026-07-25,Enviado,Pagou,7,2026,0.03
234,175,233,SMS,Oferta Cross-sell,2026-07-23,2026-07-23,Enviado,Sem Resposta,7,2026,0.12
235,175,233,SMS,Cobrança,2025-11-10,2025-11-10,Enviado,Pagou,11,2025,0.12
236,175,233,Email,Cobrança,2026-06-09,2026-06-09,Enviado,Sem Resposta,6,2026,0.03
237,175,233,Email,CNH Pendência,2026-09-18,,Agendado,,9,2026,0.03
238,175,233,Carta,Cobrança,2026-05-06,2026-05-06,Enviado,Sem Resposta,5,2026,4.5
239,152,206,Email,Oferta Cross-sell,2026-10-19,,Agendado,,10,2026,0.03
240,152,206,WhatsApp,Cobrança,2026-08-13,2026-08-13,Enviado,Sem Resposta,8,2026,0.25
241,152,206,SMS,Lembrete Parcela,2026-08-14,,Agendado,,8,2026,0.12
242,249,331,WhatsApp,Oferta Cross-sell,2025-02-07,2025-02-07,Enviado,Sem Resposta,2,2025,0.25
243,249,331,Email,Oferta Cross-sell,2026-06-29,,Falhou,,6,2026,0.03
244,249,331,WhatsApp,CNH Pendência,2025-04-08,2025-04-08,Enviado,Sem Resposta,4,2025,0.25
245,249,331,Email,Renovação,2026-09-13,,Agendado,,9,2026,0.03
246,249,331,Email,Lembrete Parcela,2026-12-10,,Agendado,,12,2026,0.03
247,249,331,SMS,Lembrete Parcela,2027-01-19,,Agendado,,1,2027,0.12
248,126,172,WhatsApp,Lembrete Parcela,2026-07-29,,Falhou,,7,2026,0.25
249,126,172,WhatsApp,Renovação,2026-08-08,2026-08-08,Enviado,Sem Resposta,8,2026,0.25
250,126,172,WhatsApp,Entrega Veículo,2026-08-14,,Agendado,,8,2026,0.25
251,126,172,SMS,Cobrança,2026-11-27,,Agendado,,11,2026,0.12
252,126,172,WhatsApp,Lembrete Parcela,2027-01-09,,Agendado,,1,2027,0.25
253,126,172,WhatsApp,CNH Pendência,2026-07-08,2026-07-08,Enviado,Sem Resposta,7,2026,0.25
254,237,318,SMS,Renovação,2025-12-03,2025-12-03,Enviado,Sem Resposta,12,2025,0.12
255,237,318,SMS,Entrega Veículo,2025-04-12,2025-04-12,Enviado,Pagou,4,2025,0.12
256,237,318,Email,Cobrança,2026-12-12,,Agendado,,12,2026,0.03
257,237,318,Push,Entrega Veículo,2025-07-06,2025-07-06,Enviado,Sem Resposta,7,2025,0.01
258,237,318,Email,Cobrança,2026-12-16,,Agendado,,12,2026,0.03
259,237,318,SMS,Cobrança,2026-05-19,2026-05-19,Enviado,Respondido,5,2026,0.12
260,237,318,Email,Entrega Veículo,2025-01-24,2025-01-24,Enviado,Sem Resposta,1,2025,0.03
261,237,318,Push,Entrega Veículo,2027-01-09,,Agendado,,1,2027,0.01
262,137,185,SMS,Cobrança,2025-02-18,2025-02-18,Enviado,Respondido,2,2025,0.12
263,137,185,Push,CNH Pendência,2025-08-15,2025-08-15,Enviado,Sem Resposta,8,2025,0.01
264,137,185,WhatsApp,Lembrete Parcela,2026-12-16,,Agendado,,12,2026,0.25
265,137,185,WhatsApp,Lembrete Parcela,2025-01-13,2025-01-13,Enviado,Sem Resposta,1,2025,0.25
266,137,185,WhatsApp,Cobrança,2025-05-05,2025-05-05,Enviado,Respondido,5,2025,0.25
267,137,185,SMS,Oferta Cross-sell,2026-12-15,,Agendado,,12,2026,0.12
268,137,185,WhatsApp,Cobrança,2025-05-18,2025-05-18,Enviado,Sem Resposta,5,2025,0.25
269,137,185,WhatsApp,Cobrança,2025-03-02,2025-03-02,Enviado,Sem Resposta,3,2025,0.25
270,234,315,Carta,Lembrete Parcela,2026-08-11,,Agendado,,8,2026,4.5
271,234,315,SMS,Cobrança,2025-08-06,2025-08-06,Enviado,Respondido,8,2025,0.12
272,234,315,Email,Cobrança,2026-12-14,,Agendado,,12,2026,0.03
273,234,315,Email,Oferta Cross-sell,2026-03-27,2026-03-27,Enviado,Sem Resposta,3,2026,0.03
274,234,315,WhatsApp,Oferta Cross-sell,2025-08-03,2025-08-03,Enviado,Pagou,8,2025,0.25
275,234,315,SMS,Cobrança,2025-11-26,,Cancelado,,11,2025,0.12
276,168,224,Email,CNH Pendência,2025-10-26,2025-10-26,Enviado,Respondido,10,2025,0.03
277,168,224,Carta,Lembrete Parcela,2026-10-01,,Agendado,,10,2026,4.5
278,168,224,WhatsApp,Oferta Cross-sell,2025-04-29,2025-04-29,Enviado,Sem Resposta,4,2025,0.25
279,168,224,WhatsApp,Renovação,2025-05-18,2025-05-18,Enviado,Pagou,5,2025,0.25
280,168,224,SMS,Oferta Cross-sell,2025-06-12,2025-06-12,Enviado,Sem Resposta,6,2025,0.12
281,168,224,Email,Lembrete Parcela,2025-09-13,2025-09-13,Enviado,Sem Resposta,9,2025,0.03
282,168,224,SMS,Renovação,2026-02-27,2026-02-27,Enviado,Pagou,2,2026,0.12
283,168,224,WhatsApp,Lembrete Parcela,2026-10-22,,Agendado,,10,2026,0.25
284,219,290,Email,CNH Pendência,2027-01-10,,Agendado,,1,2027,0.03
285,219,290,Email,Entrega Veículo,2026-01-18,,Cancelado,,1,2026,0.03
286,219,290,WhatsApp,Cobrança,2025-05-19,2025-05-19,Enviado,Respondido,5,2025,0.25
287,219,290,Email,Cobrança,2025-05-18,,Falhou,,5,2025,0.03
288,219,290,SMS,Oferta Cross-sell,2025-10-05,2025-10-05,Enviado,Sem Resposta,10,2025,0.12
289,219,290,WhatsApp,Oferta Cross-sell,2026-08-06,,Agendado,,8,2026,0.25
290,219,290,WhatsApp,Oferta Cross-sell,2026-05-23,2026-05-23,Enviado,Sem Resposta,5,2026,0.25
